FIPS_CODE,STNAME,CTYNAME
02105,Alaska,Hoonah-Angoon Census Area
02230,Alaska,Skagway Municipality
02282,Alaska,Yakutat City and Borough
08061,Colorado,Kiowa County
15005,Hawaii,Kalawao County
30011,Montana,Carter County
30069,Montana,Petroleum County
31009,Nebraska,Blaine County
31085,Nebraska,Hayes County
32009,Nevada,Esmeralda County
36005,New York,Bronx County
36047,New York,Kings County
36061,New York,New York County
36081,New York,Queens County
36085,New York,Richmond County
41069,Oregon,Wheeler County
48033,Texas,Borden County
48269,Texas,King County
48301,Texas,Loving County
