DATE,COUNT
2020-01-21,3122
2020-01-22,3122
2020-01-23,3122
2020-01-24,3121
2020-01-25,3120
2020-01-26,3118
2020-01-27,3118
2020-01-28,3118
2020-01-29,3118
2020-01-30,3118
2020-01-31,3117
2020-02-01,3116
2020-02-02,3115
2020-02-03,3115
2020-02-04,3115
2020-02-05,3114
2020-02-06,3114
2020-02-07,3114
2020-02-08,3114
2020-02-09,3114
2020-02-10,3113
2020-02-11,3113
2020-02-12,3112
2020-02-13,3112
2020-02-14,3112
2020-02-15,3112
2020-02-16,3112
2020-02-17,3111
2020-02-18,3111
2020-02-19,3111
2020-02-20,3110
2020-02-21,3109
2020-02-22,3109
2020-02-23,3109
2020-02-24,3107
2020-02-25,3106
2020-02-26,3103
2020-02-27,3103
2020-02-28,3101
2020-02-29,3101
2020-03-01,3098
2020-03-02,3092
2020-03-03,3090
2020-03-04,3086
2020-03-05,3076
2020-03-06,3051
2020-03-07,3030
2020-03-08,3012
2020-03-09,2993
2020-03-10,2960
2020-03-11,2921
2020-03-12,2871
2020-03-13,2812
2020-03-14,2753
2020-03-15,2700
2020-03-16,2655
2020-03-17,2585
2020-03-18,2492
2020-03-19,2369
2020-03-20,2223
2020-03-21,2106
2020-03-22,2005
2020-03-23,1920
2020-03-24,1794
2020-03-25,1617
2020-03-26,1490
2020-03-27,1370
2020-03-28,1266
2020-03-29,1179
2020-03-30,1079
2020-03-31,999
2020-04-01,937
2020-04-02,861
2020-04-03,799
2020-04-04,751
2020-04-05,716
2020-04-06,669
2020-04-07,613
2020-04-08,586
2020-04-09,557
2020-04-10,526
2020-04-11,495
2020-04-12,477
2020-04-13,464
2020-04-14,450
2020-04-15,435
2020-04-16,422
2020-04-17,409
2020-04-18,396
2020-04-19,385
2020-04-20,379
2020-04-21,370
2020-04-22,362
2020-04-23,351
2020-04-24,344
2020-04-25,337
2020-04-26,332
2020-04-27,324
2020-04-28,310
2020-04-29,303
2020-04-30,299
2020-05-01,289
2020-05-02,285
2020-05-03,278
2020-05-04,273
2020-05-05,268
2020-05-06,261
2020-05-07,251
2020-05-08,245
2020-05-09,241
2020-05-10,238
2020-05-11,238
2020-05-12,237
2020-05-13,234
2020-05-14,230
2020-05-15,226
2020-05-16,221
2020-05-17,218
2020-05-18,214
2020-05-19,206
2020-05-20,203
2020-05-21,200
2020-05-22,194
2020-05-23,189
2020-05-24,187
2020-05-25,185
2020-05-26,184
2020-05-27,178
2020-05-28,174
2020-05-29,167
2020-05-30,165
2020-05-31,161
2020-06-01,159
2020-06-02,154
2020-06-03,151
2020-06-04,149
2020-06-05,144
2020-06-06,141
2020-06-07,140
2020-06-08,139
2020-06-09,134
2020-06-10,130
2020-06-11,128
2020-06-12,126
2020-06-13,123
2020-06-14,123
2020-06-15,119
2020-06-16,118
2020-06-17,118
2020-06-18,116
2020-06-19,113
2020-06-20,107
2020-06-21,106
2020-06-22,104
2020-06-23,102
2020-06-24,98
2020-06-25,92
2020-06-26,85
2020-06-27,85
2020-06-28,85
2020-06-29,84
2020-06-30,82
2020-07-01,79
2020-07-02,77
2020-07-03,70
2020-07-04,68
2020-07-05,68
2020-07-06,63
2020-07-07,62
2020-07-08,57
2020-07-09,59
2020-07-10,53
2020-07-11,51
2020-07-12,46
2020-07-13,46
2020-07-14,39
2020-07-15,38
2020-07-16,37
2020-07-17,34
2020-07-18,33
2020-07-19,32
2020-07-20,30
2020-07-21,29
2020-07-22,28
2020-07-23,26
2020-07-24,27
2020-07-25,23
2020-07-26,23
2020-07-27,22
2020-07-28,19
2020-07-29,17
2020-07-30,17
2020-07-31,18
2020-08-01,18
2020-08-02,18
2020-08-03,18
2020-08-04,17
2020-08-05,16
2020-08-06,15
2020-08-07,15
2020-08-08,15
2020-08-09,14
2020-08-10,14
2020-08-11,12
2020-08-12,11
2020-08-13,8
2020-08-14,8
2020-08-15,8
2020-08-16,8
2020-08-17,8
2020-08-18,8
2020-08-19,7
2020-08-20,7
2020-08-21,7
2020-08-22,7
2020-08-23,7
2020-08-24,5
2020-08-25,5
2020-08-26,4
2020-08-27,3
2020-08-28,3
2020-08-29,3
2020-08-30,3
2020-08-31,3
2020-09-01,3
2020-09-02,3
2020-09-03,3
2020-09-04,3
2020-09-05,3
2020-09-06,3
2020-09-07,3
2020-09-08,3
2020-09-09,3
2020-09-10,1
2020-09-11,1
2020-09-12,1
2020-09-13,1
2020-09-14,1
2020-09-15,1
